序号,单词,注音,释义
75,adult ,"ə'dʌlt, 'ædʌlt", n. 成年人adj.成年的 成人的 成熟的
76,advance ,əd'vɑ:ns, n. 前进 进展 进步 预支 vt. 前进 增涨 预先 vi.前进 提高 提升 adj. 预先的 提前的
77,advanced ,əd'vɑ:nst, adj. 先进的 高级的
78,advantage ,əd'vɑ:ntidʒ, n. 优点 优势 有利条件 好处 vt. 有利于
79,adventure ,əd'ventʃə, n. 冒险 奇遇 惊险活动 vt. 冒险 尝试 vi. 大胆进行 冒险
80,adverb ,'ædvə:b, n. 副词 adj. 副词的
81,advertisement ,əd'və:tismənt, n. 广告 公告 登广告
82,advice ,əd'vais, n. 劝告 忠告 意见 建议
83,advisable ,əd'vaizəbl, n. 明智的 可取的
84,advise ,əd'vaiz, vt . 劝告 建议 通知 警告 vi. 劝告 与...商量
85,aeroplane ,.eərə.plein, n. 飞机
86,aero ,'ɛərəu, adj. 飞机的 航空的 飞行的
87,affair ,ə'fɛə, n. 事情 事件 事务 绯闻
88,affect ,ə'fekt, vt. 影响 感动 作用
89,affection ,ə'fekʃən, n.慈爱 爱 爱慕 影响 喜爱 感情
90,afford ,ə'fɔ:d, vt. 担负得起(后果 损失等) 提供 给予
91,afraid ,ə'freid, adj. 害怕的 担心的
92,Africa ,'æfrikə, n. 非洲
93,African ,'æfrikən, adj. 非洲的 非洲人的 n.非洲人
94,after ,'ɑ:ftə, adj .以后的 adv. 以后 后来 conj. 在...以后 prep. 在...以后 次于
95,afternoon ,'ɑ:ftə'nu:n, n. 下午 午后 int. 下午好
96,afterward ,'ɑ:ftəwəd, adv. 后来 以后
97,again ,ə'gein, adv. 又一次 而且 又 再 另一方面
98,against ,"ə'genst, ə'geinst", prep. 倚在 倚靠 逆 对着 反对 违背 防御 相比 相对
99,age ,eidʒ, n. 年龄 时代 时期 很长时间 vt. (使)变老 vi.变老 (使）变成熟
100,agency ,'eidʒənsi, n. 经办 代理 代理处 政府机构
101,agent ,'eidʒənt, n. 代理人 代理商 特工人员 药剂
102,aggressive ,ə'gresiv, adj. 侵略的 好斗的 攻击性的 有进取心的 强烈的 迅速生长的
103,ago ,ə'gəu, adv. 以前
104,agony ,'ægəni, n. 极度痛苦 挣扎
105,agree ,ə'gri:, vt. 同意 赞成 承认 vi .同意 持相同意见 一致 符合
106,agreement ,ə'gri:mənt, n. 协定 协议 同意 一致
107,agriculture ,'ægrikʌltʃə, n. 农业 农艺 农学
108,ahead ,ə'hed, adv. 在前 向前 提前 将来地 占优势
109,AI ,ai, abbr. 人工智能= ( Artificial Intelligence )
110,aid ,eid, n. 帮助 救护 助手 辅助物 v. 援助 帮助 救护 abbr.=Agency for International Development 国际开发署 [美]
111,aim ,eim, n. 目标 对准 枪法 vt. 瞄准 针对 vi. 瞄准 针对 致力 旨在 打算
112,air ,ɛə, n. 空气 空中 外观 旋律 气氛 态度 v. 晾干 使通风 广播
113,aircraft ,'eəkrɑ:ft, n. 飞机 飞行器
114,airline ,'eəlain, n. 航空公司 航线
115,airplane ,'eəplein, n. 飞机=aeroplane(英）
116,airport ,'eəpɔ:t, n. 机场 航空站
117,alarm ,ə'lɑ:m, n. 惊恐 惊慌 忧虑 警报 警告 报警器 vt .使...惊慌 警告 装报警器
118,alcohol ,'ælkəhɔl, n. 酒精 酒 醇 乙醇
119,alike ,ə'laik, adj. 同样的 相同的 相似的 adv. 一样 以同样的方式
120,alive ,ə'laiv, adj. 活着的 有活力 活跃的
121,all ,ɔ:l, adj. 全部的 所有的 adv. 全部 非常 全然 所有 prep. 全部 pron. 全部 所有 n. 全部
122,allow ,ə'lau, vi. (for)考虑到 使可能 vt. 允许 准许 承认 给予 断定
123,alloy ,'ælɔi, n. 合金 (金属的)成色 vt. 使...成合金 搀以劣质 减低成色 影响或贬损 vi. 有合金能力
124,almost ,'ɔ:lməust, adv. 几乎 差不多 adj. 几乎
125,alone ,ə'ləun, adj. 单独的 仅仅 独自一人 adv. 单独地 只有 独一无二地
126,along ,ə'lɔŋ, adv. 向前 (与某人)一道 prep. 沿着
127,aloud ,ə'laud, adv. 出声地 大声地
128,alphabet ,'ælfəbet, n. 字母表 字母系统 符号系统 基本原理(元素)
129,already ,ɔ:l'redi, adv. 早已 已经
130,also ,'ɔ:lsəu, adv. 亦 也 而且 还 同样地
131,alter ,'ɔ:ltə, vt. 改变 变更 改做
132,alternative ,ɔ:l'tə:nətiv, adj. 两者择一的 供选择的 非主流的 n. 替换物 取舍 抉择
133,although ,ɔ:l'ðəu, conj. 尽管 虽然
134,altitude ,'æltitju:d, n.高 高度 海拔 高处 高地
135,altogether ,.ɔ:ltə'geðə, adv.完全 总共 总而言之
136,aluminium ,.ælju'miniəm, n.铝
137,always ,'ɔ:lweiz, adv.总是 一直 永远
138,a.m ,,n.(缩)上午 午前
139,amaze ,ə'meiz, vt.使惊奇 使惊愕   添加微信brcola获取更多免费资料
140,ambition ,æm'biʃən, n.雄心，抱负，野心，精力 vt.有..野心 追求
141,ambulance ,'æmbjuləns, n.救护车 野战医院
142,America ,ə'merikə, n.美洲 美国
143,American ,ə'merikən, adj.美洲的 美国的 美式的 n.美国人 美式英语
144,among ,ə'mʌŋ, prep.在...之中
145,amongst ,ə'mʌŋst, prep在...之中 在...之间(=among)
146,amount ,ə'maunt, n.总数 数量 总额 和 vi.总计 等于
147,ampere ,'æmpeə, n.安培
148,amplify ,'æmpli.fai, vt.放大 增强 扩大 详述 使...增幅
149,amuse ,ə'mju:z, vt.逗乐 给...娱乐 消遣
150,analyse ,'ænəlaiz, vt.分析 分解 解析 检讨 细察
151,analysis ,ə'næləsis, n.分析 分解 解析
152,ancestor ,'ænsəstə, n.祖宗 祖先 原种
153,anchor ,'æŋkə, n.铁锚 vi.抛锚 停泊 用锚系住 担任（广播 电视新闻节目）的主持人
154,ancient ,'einʃənt, adj.古代的 古老的 n.古人 古货币
155,and ,"ənd, ænd", conj.和 又 并 则 逻辑与
156,angel ,'eindʒəl, n.天使 天使般的人 神差 (名)安琪儿
157,anger ,'æŋgə, n.怒 愤怒 vt.使发怒 激怒
158,angle ,'æŋgl, n.角 角度 角落 vt.斜移 转变角度 vi.钓鱼 谋取 转变角度 
159,Angle ,'æŋgl, n.盎格鲁人
160,angry ,'æŋgri, adj.愤怒的 生气的 伤口红肿的
161,animal ,'æniməl, n.动物 兽 兽性 与众不同的人 adj.动物的 野兽的 动物性的
162,ankle ,'æŋkəl, n.踝 踝关节
163,announce ,ə'nauns, vi.当电台的播音员 宣称 vt.宣布 宣告 发表 通知
164,announcer ,ə'naunsə, n.宣告者 播音员 广播员 告知者
165,annoy ,ə'nɔi, vt.使恼怒 使生气 打搅 骚扰 使...苦恼
166,annual ,'ænjuəl, adj.每年的 年度的 一年生的 n.年报 年刊 年鉴 一年生植物
167,another ,ə'nʌðə, adj.再一个的 别的 另一的 不同的 pron.另一个
168,answer ,'ɑ:ŋsɚ, n.答案 回答 反驳 回应 vi.回答 符合 vt.回答 响应 适应
169,ant ,ænt, n.蚂蚁
170,anticipate ,æn'tisipeit, vt.预料 预期 期望 抢...前 语言 提前使用 vi.预期
171,anxiety ,æŋ'zaiəti, n.焦虑 忧虑 渴望 担心
172,anxious ,'æŋkʃəs, adj.焦急的 忧虑的 渴望的
173,any ,'eni, adj.什么 一些 任何的adv.稍 一丁点 pron.任何
174,anybody ,"'eni.bɔdi, 'enibədi", n.重要人物 pron.任何人
175,anyhow ,'eni:.hau, adv.无论如何 不管怎样
176,anyone ,'eniwʌn, pron.任何人
177,anything ,'eni.θiŋ, pron.任何事物 一切
178,anyway ,'eniwei, adv.无论如何 不管怎样
179,anywhere ,'eniweə, adv.在什么地方 任何地方 n.任何(一个)地方
180,apart ,ə'pɑ:t, adv.相隔 分开 除去 分别地 有区别地 adj.分开的 分离的
181,apartment ,ə'pɑ:tmənt, n.一套公寓房间
182,apologize ,ə'pɔlədʒaiz, vi.道歉 谢罪 认错
183,apology ,ə'pɔlədʒi, n.道歉 认错 谢罪 勉强的替代物
184,apparatus ,.æpə'reitəs, n.装置 器具 器械 仪器 器官 机构 组织
185,apparent ,ə'pærənt, adj.表面上的 明显的
186,appeal ,ə'pi:l, n.呼吁 申述 恳求 上诉 吸引力 诉诸裁决 vi.求助 诉请 呼吁 申述 吸引
187,appear ,ə'piə, vi.出现 来到 抵达 似乎 显得 出版
188,appearance ,ə'piərəns, n.出现 出场 来到 外观
189,appetite ,'æpitait, n.食欲 胃口 欲望 嗜好
190,apple ,'æpəl, n.苹果 苹果树
191,appliance ,ə'plaiəns, n.用具 器具 器械 装置 应用
192,applicable ,'æplikəbəl, adj.能应用的 适当的 合适的
193,application ,.æpli'keiʃən, n.应用 请求 申请 专心 施用 应用软件程序
194,apply ,ə'plai, vt.应用 实施 使用 涂 使专心从事 vi.申请 有关联
195,appoint ,ə'pɔint, vt.任命 委任 约定 指定 预约 装饰 vi.行使任命权
196,appointment ,ə'pɔintmənt, n.任命 约定 约会 预约 委派 官职 设备
197,appreciate ,ə'pri:ʃieit, vt.欣赏 感激 赏识 领会 充分意识 感谢 vi.增值
198,approach ,ə'prəutʃ, n.接近 途径 方法 vt.向...靠近 靠近 接近 动手处理
199,appropriate ,ə'prəupri:ət, adj.适当的 恰当的 相称的 vt.拨出(款项) 占用
200,approval ,ə'pru:vəl, n.赞成 同意 批准 认可
201,approve ,ə'pru:v, vt.赞成 称许 批准 核准 证实 vi.赞同
202,approximate ,ə'prɔksimət, adj.近似的 大约的 vt.近似 接近 约等于
203,approximately ,ə'prɔksimətli, adv.近似地 大约
204,April ,'eiprəl, n.四月
205,Arabian ,ə'reibiən, adj.阿拉伯(人)的 n.阿拉伯人
206,arbitrary ,'ɑ:bi.trəri, adj.随心所欲的 专断的 任意的 专制的 武断的 霸道的
207,architecture ,'ɑ:kitektʃə, n.建筑学 建筑式样 建筑业 建筑物 结构 [总称] 建筑物 建筑风格
208,area ,'eəriə, n.面积 地区 区域 领域 方面
209,argue ,'ɑ:gju:, vt.争论 辩论 争吵 劝说 表明 vi.提出理由 争论 争辩 辩论
210,argument ,'ɑ:gjumənt, n.争论 辩论 理由 论点(据)
211,arise ,ə'raiz, vi.出现 由...引起 上升
212,arithmetic ,ə'riθmətik, n.算术 四则运算
213,arm ,ɑ:m, n.手臂 臂状物 武器 港湾 狭长地带 扶手 袖子 vt.装备 准备(炸弹) vi.武装自己
214,army ,'ɑ:mi, n.军队 陆军 大群
215,around ,ə'raund, adj.大约 在现存范围内 adv.大约 到处 在周围 prep.在...周围 在...附近 到处
216,arouse ,ə=rauz, vt.引起 唤起 唤醒 激发 激起 vi.唤醒
217,arrange ,ə'reindʒ, vt.筹备 整理 调解 安排 计划 改编(乐曲) vi.协商 计划
218,arrangement ,ə'reindʒmənt, n.整理 排列 安排 商议
219,arrest ,ə'rest, n.逮捕 监禁 vt.逮捕 拘留 阻止 妨碍 吸引
220,arrival ,ə'raivəl, n.到达 到来 到达者
221,arrive ,ə'raiv, vi.到达 来临 达到 成功
222,arrow ,'ærəu, n.箭 箭头 箭状物 vi.快且笔直的前进有如穿梭的箭
223,art ,ɑ:t, adj.美术(品)的 艺术(品)的 n.艺术 美术 技术 阴谋
224,article ,'ɑ:tikəl, n.文章 条款 物品 冠词 vt.定契约
225,artificial ,.ɑ:ti'fiʃəl, adj.人工的 人造的 虚伪的 武断的 娇揉造作的
226,artist ,'ɑ:tist, n.艺术家 美术家 艺人
227,artistic ,ɑ:'tistik, adj.艺术的 艺术家的
228,as ,æs, adv.同样地 像 prep.当做 conj.当...的时候 像...一样 因为
229,ash ,æʃ, n.灰 灰烬 灰末 骨灰
230,ashamed ,ə'ʃeimd, adj.惭愧(的) 羞耻(的) 感到惭愧 感到害臊 因为羞耻或勉强作某事
231,Asia ,'eiʃə, n.亚洲
232,Asian ,'eiʃən, adj.亚洲的 n.亚洲人
233,aside ,ə'said, n.旁白 顺便说的话 adv.在旁边 到旁边 在一边 另外 离开
234,ask ,ɑ:sk, vt.问 询问 要求 邀请 请求 开价 vi.询问 恳求
235,asleep ,ə'sli:p, adj.睡着的 睡熟的 已死的 不活跃的 麻木的 adv.处于或进入睡眠状态地 陷入麻木不仁状态地
236,aspect ,'æspekt, n.方面 样子 外表 外貌 外观 方位 方向
237,assemble ,ə'sembəl, vt.集合 召集 装配 vi.集合 聚集
238,assembly ,ə'sembli, n.集合 集会 装配
239,assess ,ə'ses, vt.对(财产等)估价 估定 评定
240,assign ,ə'sain, vt.指派 分配 指定 转让 n.受让人
241,assignment ,ə'sainmənt, n.分配 功课 任务 被指定的(课外)作业 委派
242,assist ,ə'sist, vt.援助 帮助 协助的器械 搀扶 vt.帮助 协助 vi.帮助 协助 出席
243,assistant ,ə'sistənt, n.助手 助理 助教 adj.副的
244,associate ,ə'səuʃieit, vt. 联合 联想 vi.交往 加入 陪同 n.伙伴 同事 合伙人 准学士学位获得者 adj.副的 有联系的 共事的
245,association ,ə.səusi'eiʃən, n.协会 团体 社团 联合 结合 交往 联想
246,assume ,ə'sju:m, vt.假定 设想 承担 呈现 (想当然的)认为
247,assure ,ə'ʃuə, vt.使确信 向...保证 保险 保证 确信 担保
248,astonish ,əs'tɔniʃ, vt.使惊讶 使吃惊
249,astronaut ,'æstrənɔ:t, n.宇宙航行员 宇航员
250,at ,æt, prep.在...里 在...时
251,athlete ,"'æθlit, 'æθli:t", n.运动员 田径运动员
252,Atlantic ,ət'læntik, adj.大西洋的 n.大西洋
253,atmosphere ,'ætməsfiə, n.大气 空气 气氛 格调 情趣 气压
254,atmospheric ,.ætməs'ferik, adj.大气的 大气层的 制造气氛的
255,atom ,'ætəm, n.原子 微粒 微量
256,atomic ,ə'tɔmik, adj.原子的 原子能的
257,attach ,ə'tætʃ, vt.缚 系 贴 附加 使依恋
258,attack ,ə'tæk, n.攻击 评击 vt.攻击 动手 疾病发作 vi.发动攻击 adj.有计划的攻击
259,attain ,ə'tein, vt.达到 获得 完成
260,attempt ,ə'tempt, vt.尝试 试图 n.企图
261,attend ,ə'tend, vt.出席 照顾 护理 照料 参加 注意 vi.专心 留意 待命
262,attention ,ə'tenʃən, n.注意(力) 留心 关心 立正
263,attentive ,ə'tentiv, adj.注意的 留意的 有礼貌的
264,attitude ,'ætitju:d, n.态度 看法 姿势
265,attract ,ə'trækt, vt.吸引 引起 诱惑 有吸引力
266,attraction ,ə'trækʃən, n.吸引 吸引力 有吸引力的人或事物 引力
267,attractive ,ə'træktiv, adj.有吸引力的 引起注意的
268,attribute ,"'ætribju:t, ə'tribju:t", vt.把...归因于 属于 n.属性 特征 标志 象征
269,audience ,'ɔ:diəns, n.听众 观众 读者 拥护者 倾听 正式会见
270,August ,'ɔ:gʌst, n.八月(大写时）adj.威严的 尊严的(小写时）
271,aunt ,ɑ:nt, n.伯母 婶母 姑母 姨
272,aural ,'ɔ:rəl, adj.耳的 听觉的
273,Australia ,ɔ'streiliə, n.澳大利亚
274,Australian ,ɔ'streiliən, adj.澳大利亚的 n.澳大利亚人
275,author ,'ɔ:θə, n.作者 作家 创造者 vt.创造 写作
276,authority ,ə'θɔriti, n.当局 官方 权力 权威 专家 权威人士 依据
277,auto ,'ɔ:təu, n.(口语)汽车autos=automobile 自动汽车 pref.自动的 自己的
278,automatic ,.ɔ:tə'mætik, adj.自动的 机械的 半自动化的 n.自动装置 半自动武器
279,automation ,.ɔ:tə'meiʃən, n.自动 自动化
280,automobile ,"'ɔ:təməbi:l, ɔ:tə'məubil", n.汽车 机动车 adj.汽车的
281,autumn ,'ɔ:təm, n.秋 秋季 秋天
282,auxiliary ,ɔ:g'ziljəri, n.帮助者 辅助物 助动词 adj.辅助的 附属的 附加的
283,available ,ə'veiləbəl, adj.可利用的 可得到的 有用的 有效的 通用的
284,avenue ,"'ævənju:, 'ævinju:", n.林荫道 道路 大街 途径手段
285,average ,'ævəridʒ, n.平均数 平均水平 adj.平均的 一般的 通常的 v.取平均值 达到平均水平
286,aviation ,".eivi'eiʃn, 'evi'eʃən", n.航空 航空学 飞机制造业
287,avoid ,ə'vɔid, vt.避免 躲开 逃避 撤消
288,await ,ə'weit, vt.等候 期待 准备...以待 储存 vi.等待
289,awake ,ə'weik, adj.醒着的 警惕的 vt.唤醒 唤起 激发 vi.醒来 恢复意识
290,award ,ə'wɔ:d, n.奖 奖品 判定 vi.授予 给予 vt.授予
291,aware ,ə'weə, adj.知道的 意识到的
292,away ,ə'wei, adv.离开 远离 出去 连续的 遥远地 ...去 adj.远离
293,awful ,'ɔ:fl, adj.令人不愉快的 可怕的 畏惧的 充满敬畏的 艰难的 adv.极其
294,awfully ,'ɔ:fuli, adv.令人畏惧的 很 可怕地 非常地 极端地
295,awkward ,'ɔ:kwəd, adj.笨拙的 尴尬的
296,ax ,æks, n.斧子 （吉他或者萨克斯风类的）乐器 vt.用斧砍 削减 abbr.=(axiom axis)
297,axis ,'æksis, n.轴 轴线 中心线 中枢
298,baby ,'beibi, adj.(形容用法)婴儿的 过小的 n.婴儿 孩子气的人 象婴儿的人 需特殊关心的事物 vt.溺爱 过度关心
299,back ,bæk, adj. 后面的 偏远的 过时的 积欠的 向后的 adv. 在后 回原处 回 向后地 n. 后背 背脊 后面 靠背 vt. 后退 支持 vi. 后退
300,background ,'bækgraund, n.背景 后景 经历 幕后 配音 vt.提供背景
301,backward ,'bækwəd, adj.向后的 倒的 adv.倒 向后
302,bacteria ,bæk'tiəriə, n.(复数)细菌
303,bad ,bæd, adj.坏的 恶的 严重的 令人不满意的 有害的 有病的 n.坏人 坏事
304,badly ,'bædli, adv.坏 差 严重地 恶劣地 极度地
305,badminton ,'bædmintən, n.羽毛球
306,bag ,bæg, n.袋 包 钱包 背包 猎获物 vt.鼓起 把...装入袋中 猎杀 占有 vi.鼓起 宽松地下垂或悬吊
307,baggage ,'bægidʒ, n.行李
308,bake ,beik, vt.烤 烘 焙 烧硬 vi.烘焙 烤 变得炎热 n.烘焙 烤
309,balance ,'bæləns, vt.使平衡 称 称重量 权衡 抵消 vi.建立平衡 均衡 n.天平 平衡 差额 平静 调和 制衡
310,ball ,bɔ:l, n.球 球状物 舞会 v.(把...捏)成球状
311,balloon ,bə'lu:n, n.气球 玩具气球 vt.使膨胀 vi.如气球般膨胀 激增 adj.气球状的
312,banana ,bə'nɑ:nə, n.香蕉 芭蕉属植物
313,band ,bænd, n.乐队 带 波段 箍 队 v.联合 结合
314,bang ,bæŋ, n.(突然)巨响 枪声 猛击 重击 刘海 vt.重击 大声敲 剪成刘海 vi.大声敲击 发出巨响 adv.正好地 准确地
315,bank ,bæŋk, n.银行 库 岩 堤 vt.堆积 vi.开户 把...存入银行
316,banner ,'bænə, n.旗 旗帜 横幅 大标题 adj.特别好的 杰出的 vt.用横幅装饰 以大标题报道
317,bar ,bɑ:, n.酒吧间 条 杆 栅 条 棒 横木 vt.禁止 阻挠
318,barber ,'bɑ:bə, n.理发师
319,bare ,bɛə, adj.赤裸的 显露的 极少的 仅仅的 vt.使赤裸 露出
320,bargain ,'bɑ:gən, n.交易 买卖 物美价廉的东西 vi.议价 成交 vt.议价交易
321,bark ,bɑ:k, n.吠叫声 狗叫 咆哮 厉声说话 树皮 小帆船 vi.吠 叫 吠叫 咆哮 急促地说
322,barn ,bɑ:n, n.谷仓 牲口棚
323,barrel ,'bærəl, n.桶 圆筒 枪管 炮管 笔管 一桶的量 大量 汽油桶 vi.快速移动 vt.把...装桶
324,barrier ,'bæriə, n.栅栏 屏障 障碍 障碍物 界线
325,base ,beis, n.基础 底层 基地 （支持、收入、力量等的）基础 vt.以...作基础 adj.卑鄙的 不道德的
326,basic ,'beisik, n.基本 实质性的东西 基础训练 [计] BASIC语言 基本高级语言 adj.基本的 基础的 含硅量少的
327,basically ,'beisikəli, adv.基本上 主要地
328,basin ,'beisən, n.盆 洗脸盆 盆地 流域 水池
329,basis ,'beisis, n.基础 根据 主要成分
330,basket ,'bɑ:skit, n.篮 篓 筐 <篮>篮球筐 得分
331,basketball ,'bɑ:skitbɔ:l, n.篮球 篮球运动
332,bat ,bæt, n.球拍 短棍 棒 击打 蝙蝠 v.用棒击打 [计算机] DOS文件名：批文件
333,bath ,bɑ:θ, n.浴 洗澡 洗澡水 浴缸 浴室 财政亏损 (复)游泳池 n.(Bath)巴斯(英国城市) v.洗澡
334,bathe ,beið, vt.给...洗澡 弄湿 沐浴 用水洗 沉浸
335,bathroom ,"'bɑ:θrum, -ru:m", n.浴室 盥洗室
336,battery ,'bætəri, n.电池 一套 一组 一系列 排炮
337,battle ,'bætl, n.战役 斗争 争论 vi.与...作战 与...斗争
338,bay ,bei, adj. 红棕色 n. 湾 海湾 山脉中的凹处 红棕色 隔间 配电间 犬吠 围困 月桂树 名望 vi. 嗥叫 vt. 吼叫着追赶或进攻 哀号 把...围困住
339,B.C. ,'bi: si:, (缩)公元前
340,be ,bi:, aux.v. &vi.是 在 做 有
341,beach ,bi:tʃ, n.海滩 湖滩 河滩 vt.拖(船)上岸
342,beam ,bi:m, n.梁 横梁 束 柱 光线 电波 容光焕发 vt.闪亮 为...上梁 vi.微笑 发光
343,bean ,bi:n, n.豆 蚕豆
344,bear ,beə(r), n.熊 粗鲁的人 vt.忍受 负荷 结果实 生子女
345,beard ,biəd, n.胡须 络腮胡子 vt.抓住胡须 公开反对
346,beast ,bi:st, n.兽 野兽 牲畜 凶残的人 令人厌憎的人
347,beat ,bi:t, n.打 敲打声 拍子 独家报道 一会儿 vt. &vi.打 敲 打败
348,beautiful ,'bju:tifəl, adj.美的 美丽的 漂亮的
349,beauty ,'bju:ti, n.美 美丽 美人 美的东西
350,because ,bi'kɔz, conj.由于 因为
351,become ,bi'kʌm, vt.变得 vi.存在 变成 成为 变得 经历改变或发展
